family_key,family_label,blocks,n_active,order_label,order_pretty,levels,screen_fidelity,screen_duration_ns,screen_gate_depth,replay_n12_fidelity,replay_n12_leakage,replay_n12_unitarity_error
drcpsqr,D + R + CPSQR,3,1,CPRD,CPSQR > R > D,0,0.6497146957888817,933.0,10,0.6496635682020072,0.23883177283051782,1.2166926211854964e-14
drcpsqr,D + R + CPSQR,2,4,CPRD,CPSQR > R > D,0-1-2-3,0.6493440222811744,635.0,7,0.649108472257372,0.04951558934326428,5.774269840145933e-15
drsqr,D + R + SQR,5,2,RSD,R > SQR > D,0-1,0.6473830156117202,6180.0,16,0.6472810141555508,0.1031164596411035,2.6848015005194663e-14
drsqr,D + R + SQR,5,2,DSR,D > SQR > R,0-1,0.6460012630177812,6180.0,16,0.6459144695440168,0.08271087669275212,6.2532781879448975e-15
drsqr,D + R + SQR,5,1,DSR,D > SQR > R,0,0.6459874665550879,6180.0,16,0.6458344263266625,0.0406726782939103,7.968629027743524e-15
drsqr,D + R + SQR,5,2,DRS,D > R > SQR,0-1,0.6443194568261993,6180.0,16,0.6442642745904952,0.08927150128411865,2.6544860548831943e-14
drsqr,D + R + SQR,5,2,RDS,R > D > SQR,0-1,0.643646449859889,6180.0,16,0.6435903714023653,0.08975412445740405,4.5883357466203685e-14
drcpsqr,D + R + CPSQR,3,3,RCPD,R > CPSQR > D,0-1-2,0.6425728124631381,891.0,10,0.6433475564405025,0.12284887432873304,3.5983107486612564e-14
drsqr,D + R + SQR,4,2,DSR,D > SQR > R,0-1,0.6421938840924633,4960.0,13,0.6421963523987481,0.0880597256825767,7.52235263846511e-15
drsqr,D + R + SQR,3,1,DSR,D > SQR > R,0,0.641466309465976,3740.0,10,0.6415214399741896,0.06883420693501685,2.1947495793257533e-14
drsqr,D + R + SQR,3,2,DRS,D > R > SQR,0-1,0.6402917668532666,3740.0,10,0.64024388018231,0.06869281503765556,2.989838257943232e-14
drcpsqr,D + R + CPSQR,2,3,CPRD,CPSQR > R > D,0-1-2,0.6389010092508675,640.0,7,0.6394079147708417,0.14013427429003789,5.158089253990125e-15
drsqr,D + R + SQR,3,2,RDS,R > D > SQR,0-1,0.6383612664030779,3740.0,10,0.6383108568188612,0.06885517338833536,2.4501331205209965e-14
drsqr,D + R + SQR,3,2,DSR,D > SQR > R,0-1,0.6376370624811777,3740.0,10,0.6376243395969712,0.06603005815773799,2.6388601526446806e-14
drsqr,D + R + SQR,4,2,RDS,R > D > SQR,0-1,0.6332925020848422,4960.0,13,0.6332401061421904,0.09539708648453171,1.5843638968892658e-14
drcpsqr,D + R + CPSQR,3,1,DRCP,D > R > CPSQR,0,0.6299713692011106,847.0,10,0.6319900143586935,0.4579510474124363,5.348305239003414e-15
drsqr,D + R + SQR,4,1,DSR,D > SQR > R,0,0.6312292377354788,4960.0,13,0.6313570012542382,0.026432413865352333,3.790715671682403e-15
drcpsqr,D + R + CPSQR,5,1,CPDR,CPSQR > D > R,0,0.6753767742838029,1383.0,16,0.6312491382417078,0.5263652939120842,6.3065444906483964e-15
drcpsqr,D + R + CPSQR,2,3,CPDR,CPSQR > D > R,0-1-2,0.6287439091696317,665.0,7,0.6288457985923545,0.12682340580907236,3.79454610082908e-14
drcpsqr,D + R + CPSQR,2,4,CPDR,CPSQR > D > R,0-1-2-3,0.6286429707274112,665.0,7,0.628749532854745,0.12633217557672183,2.75958282439854e-15
drsqr,D + R + SQR,2,4,SRD,SQR > R > D,0-1-2-3,0.6278113704604116,2520.0,7,0.6274808433328699,0.06695524147617737,1.3665020004476408e-14
drsqr,D + R + SQR,2,3,SRD,SQR > R > D,0-1-2,0.623403494350589,2520.0,7,0.6233730577878661,0.08630542998199042,3.637855177107761e-14
drsqr,D + R + SQR,4,2,DRS,D > R > SQR,0-1,0.6233386366770093,4960.0,13,0.6232613088083848,0.07816287880356276,4.7733888238440235e-14
drcpsqr,D + R + CPSQR,3,2,RDCP,R > D > CPSQR,0-1,0.6201834573190187,875.0,10,0.6201637458378013,0.18640891622262923,5.587661160624691e-15
drsqr,D + R + SQR,3,1,DRS,D > R > SQR,0,0.6155156663755861,3740.0,10,0.6155099365838104,0.01093077932695996,1.6010326864018808e-14
drsqr,D + R + SQR,4,1,SRD,SQR > R > D,0,0.6138500951130494,4960.0,13,0.6137608566145683,0.009011221652796997,5.290633698919818e-15
drcpsqr,D + R + CPSQR,3,1,RDCP,R > D > CPSQR,0,0.6119728249893525,858.0,10,0.6119647899938364,0.21289951520577854,4.0289892316962095e-14
drsqr,D + R + SQR,3,1,RDS,R > D > SQR,0,0.6117005209643767,3740.0,10,0.6116960115875738,0.009596429250812832,1.3424819828364543e-14
drcpsqr,D + R + CPSQR,2,2,CPRD,CPSQR > R > D,0-1,0.6096768160622306,649.0,7,0.6096576335335111,0.24193945680818052,8.307004794842443e-15
drsqr,D + R + SQR,4,1,DRS,D > R > SQR,0,0.6081302875053031,4960.0,13,0.6081524558053554,0.01960974753021727,2.5154887223931717e-14
drcpsqr,D + R + CPSQR,2,2,CPDR,CPSQR > D > R,0-1,0.6078279992101541,651.0,7,0.6078057514878589,0.2527203179550874,2.8170591723648332e-14
drcpsqr,D + R + CPSQR,3,2,RCPD,R > CPSQR > D,0-1,0.6016059505570017,904.0,10,0.6015811816541139,0.23458309375956432,4.195978718031805e-14
drcpsqr,D + R + CPSQR,2,1,CPDR,CPSQR > D > R,0,0.6007722341388266,556.0,7,0.600829163704823,0.42220789087581945,2.157191599887618e-14
drcpsqr,D + R + CPSQR,3,1,RCPD,R > CPSQR > D,0,0.599219886154191,897.0,10,0.5991524175944084,0.2253357130368926,1.452445002595925e-14
drcpsqr,D + R + CPSQR,2,1,CPRD,CPSQR > R > D,0,0.5949322541963529,553.0,7,0.5949465411408843,0.29157526319557037,8.489923683867103e-15
drsqr,D + R + SQR,4,1,RDS,R > D > SQR,0,0.5945633701908911,4960.0,13,0.5945630949929113,0.015983050119678932,4.1538482416608194e-15
drcpsqr,D + R + CPSQR,3,1,DCPR,D > CPSQR > R,0,0.623412212736571,908.0,10,0.5919153861051141,0.6118935754799104,1.6227243751395315e-14
drsqr,D + R + SQR,2,2,SRD,SQR > R > D,0-1,0.5905441331553047,2520.0,7,0.5905378391192047,0.14742119006017196,8.70509164627515e-15
drcpsqr,D + R + CPSQR,3,4,DCPR,D > CPSQR > R,0-1-2-3,0.6588336262311371,931.0,10,0.5763483423976292,0.6406228993115395,6.4393908356056335e-15
drsqr,D + R + SQR,2,4,RDS,R > D > SQR,0-1-2-3,0.5688648845407627,2520.0,7,0.5688649582908671,0.002120447008167825,3.0720327192481416e-14
drsqr,D + R + SQR,2,3,RDS,R > D > SQR,0-1-2,0.5688007539758668,2520.0,7,0.5688001150841306,0.002042519430928813,3.662536468112433e-14
drsqr,D + R + SQR,2,2,RDS,R > D > SQR,0-1,0.5636772817671211,2520.0,7,0.5636770816260953,0.013365523099516885,2.5331108854493827e-14
drsqr,D + R + SQR,4,4,SRD,SQR > R > D,0-1-2-3,0.5616688025339777,4960.0,13,0.5616551387916794,0.0031397344762051915,9.421002287111367e-15
drsqr,D + R + SQR,4,3,SRD,SQR > R > D,0-1-2,0.5613649138266703,4960.0,13,0.5613647464640943,0.007937361890786088,7.147816841129007e-15
drcpsqr,D + R + CPSQR,2,2,DRCP,D > R > CPSQR,0-1,0.5581269687659186,631.0,7,0.5580210549827802,0.08308322115088362,3.1315287173893316e-15
drcpsqr,D + R + CPSQR,2,4,DRCP,D > R > CPSQR,0-1-2-3,0.5575165248008125,629.0,7,0.5571161091367661,0.06048967677295758,3.019238965670732e-15
drsqr,D + R + SQR,4,1,SDR,SQR > D > R,0,0.5563871972481523,4960.0,13,0.5563873050977565,0.00406632112623051,8.59711396865471e-15
drsqr,D + R + SQR,4,2,SRD,SQR > R > D,0-1,0.555039511490722,4960.0,13,0.5550389632388416,0.08070942446354201,9.046359538859538e-15
drcpsqr,D + R + CPSQR,2,3,DRCP,D > R > CPSQR,0-1-2,0.5542506394326129,631.0,7,0.5546778065505642,0.0868522249592587,2.9743176870003523e-15
drsqr,D + R + SQR,4,1,RSD,R > SQR > D,0,0.5536174941120021,4960.0,13,0.5536375744713177,0.012966059925044848,5.9217884606089815e-15
drsqr,D + R + SQR,4,4,SDR,SQR > D > R,0-1-2-3,0.550577819283416,4960.0,13,0.5505725020193647,0.0015366599402207859,5.276516050430354e-14
drsqr,D + R + SQR,4,3,SDR,SQR > D > R,0-1-2,0.5502939305394088,4960.0,13,0.5502943246393704,0.0037464954666104333,4.310199050380839e-14
drcpsqr,D + R + CPSQR,2,1,DRCP,D > R > CPSQR,0,0.5501667909022505,651.0,7,0.5500709949012479,0.11103759898204124,3.0153802717235295e-14
drsqr,D + R + SQR,2,4,SDR,SQR > D > R,0-1-2-3,0.5526386177992152,2520.0,7,0.5496992763031685,0.6231761206522108,3.147077199167828e-15
drsqr,D + R + SQR,2,4,RSD,R > SQR > D,0-1-2-3,0.5480403667517884,2520.0,7,0.5480397185297549,0.030386845829799336,1.880039015926922e-14
drsqr,D + R + SQR,2,3,RSD,R > SQR > D,0-1-2,0.5480094638014213,2520.0,7,0.5480094051765783,0.030751950991114607,2.668069002412775e-14
drsqr,D + R + SQR,2,2,RSD,R > SQR > D,0-1,0.5468529411666782,2520.0,7,0.5468525449314259,0.03885664078663453,2.070442122814185e-14
drsqr,D + R + SQR,4,2,SDR,SQR > D > R,0-1,0.5441959551972901,4960.0,13,0.5441941984930295,0.06509872510280112,6.171364012176079e-14
drcpsqr,D + R + CPSQR,2,3,RDCP,R > D > CPSQR,0-1-2,0.5323378510325749,665.0,7,0.53237071691115,0.18426380424118594,2.827333338462048e-15
