n,detuning_MHz,probe_duration_ns,probe_amplitude_MHz,storage_target_probability,storage_total_f_probability,dump_witness_target_probability,dump_witness_readout_n
4,-2.5,400.0,0.15,0.0004120258985256223,0.0004120258985256223,0.0004103155834404001,0.00041031558344040007
4,-2.0,400.0,0.15,0.02029625738713791,0.02029625738713791,0.02021233117933839,0.02021233117933839
4,-1.5,400.0,0.15,0.11075155681441978,0.1107515568144198,0.11029400733514695,0.11029400733514694
4,-1.0,400.0,0.15,0.26125917220354744,0.26125917220354744,0.26018051735192316,0.26018051735192316
4,-0.5,400.0,0.15,0.4067630981751837,0.4067630981751837,0.4050844328954143,0.40508443289541424
4,0.0,400.0,0.15,0.4671981374112718,0.46719813741127186,0.46527081616383953,0.46527081616383953
4,0.5,400.0,0.15,0.40658240294869913,0.40658240294869913,0.40490448134604906,0.40490448134604906
4,1.0,400.0,0.15,0.26101318127907114,0.26101318127907114,0.2599355568027411,0.2599355568027411
4,1.5,400.0,0.15,0.11057938225803687,0.11057938225803689,0.11012254176137899,0.11012254176137898
4,2.0,400.0,0.15,0.020287312417780992,0.02028731241778099,0.020203422886127094,0.020203422886127094
