n,detuning_MHz,probe_duration_ns,probe_amplitude_MHz,dump_target_probability,readout_n,final_f_probability
4,1.5,400.0,0.3,0.11071252324245745,0.11071252324245746,0.8892874767575422
4,2.0,400.0,0.3,0.02025413959685554,0.020254139596855538,0.9797458604031446
4,2.5,400.0,0.3,0.00041940142145182853,0.00041940142145182853,0.9995805985785479
4,3.0,400.0,0.3,0.01598475619057007,0.015984756190570066,0.9840152438094298
4,3.5,400.0,0.3,0.026717937393444767,0.026717937393444767,0.9732820626065553
4,4.0,400.0,0.3,0.01910570013686664,0.01910570013686664,0.9808942998631331
4,4.5,400.0,0.3,0.005240576599073254,0.005240576599073254,0.9947594234009267
4,5.0,400.0,0.3,2.573909385630885e-05,2.5739093856308852e-05,0.9999742609061436
4,5.5,400.0,0.3,0.004485183381941538,0.004485183381941537,0.9955148166180583
4,6.0,400.0,0.3,0.009122884372333299,0.009122884372333299,0.9908771156276669
4,6.5,400.0,0.3,0.00745770008049865,0.007457700080498649,0.9925422999195015
4,7.0,400.0,0.3,0.0023151425247103052,0.0023151425247103057,0.9976848574752897
4,7.5,400.0,0.3,4.433542837809832e-06,4.4335428378098315e-06,0.999995566457162
4,8.0,400.0,0.3,0.0020564836434135833,0.0020564836434135833,0.9979435163565866
4,8.5,400.0,0.3,0.004533480901077985,0.004533480901077984,0.995466519098922
4,9.0,400.0,0.3,0.003934217095382703,0.003934217095382702,0.9960657829046173
4,9.5,400.0,0.3,0.001296650362283477,0.001296650362283477,0.9987033496377162
4,10.0,400.0,0.3,1.1183597899020133e-06,1.1183597899020135e-06,0.9999988816402101
