rank,construction,ansatz,envelope,duration_ns,n_active,f_unitary,f_decoherence,f_practical,mean_abs_eps_z,mean_abs_eps_perp,parameter_count,study,case_id
870,symmetric echo,echoed_fixed_total,gaussian,1056.3380281690138,4,0.005549171034506,0.9452195710415633,0.005245185064872029,,,26,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na4_chiT3p0_familyD_seed318259
871,echoed,echoed multitone,gaussian,1760.5633802816897,4,0.0057474513066102,0.9103767869122359,0.005232346253446325,,,27,parameterized_waveform_residual_z_cancellation,chi_only_na4_chiT5p0_targetC
872,symmetric echo,echoed_fixed_total,gaussian,352.112676056338,4,0.0051557314150462,0.9813958904975115,0.00505981362323526,,,26,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na4_chiT1p0_familyD_seed318161
873,direct,baseline multitone,gaussian,1056.3380281690138,4,0.00521778900538,0.9452195710415633,0.004931956285450669,,,12,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT3p0_targetD_seed94342
874,two-segment direct,symmetric two segment,gaussian,1056.3380281690138,4,0.0051915542267569,0.9452195710415633,0.004907158659254172,,,24,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT3p0_targetD_seed94342
875,echoed,echoed multitone,gaussian,1056.3380281690138,4,0.0048936377961214,0.9452195710415633,0.004625562218482651,,,27,parameterized_waveform_residual_z_cancellation,chi_only_na4_chiT3p0_targetC
876,two-segment direct,symmetric two segment,gaussian,1056.3380281690138,3,0.0043662846910154,0.9452195710415633,0.004127097742686921,,,18,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na3_chiT3p0_targetD_seed93341
877,symmetric echo,echoed_fixed_total,gaussian,352.112676056338,4,0.0041457164029612,0.9813958904975115,0.004068589041034247,,,26,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na4_chiT1p0_familyD_seed318259
878,direct,baseline multitone,gaussian,1056.3380281690138,3,0.0042706140568352,0.9452195710415633,0.004036667986885838,,,9,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na3_chiT3p0_targetD_seed93341
879,basis-expanded,basis expanded,gaussian,1056.3380281690138,3,0.0042286155020054,0.9452195710415633,0.003996970130905248,,,15,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na3_chiT3p0_targetD_seed93341
880,rich envelope,complex envelope,rich envelope,1056.3380281690138,3,0.0042267394045663,0.9452195710415633,0.003995196806888631,,,15,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na3_chiT3p0_targetD_seed93341
881,two-segment direct,symmetric two segment,gaussian,1760.5633802816897,4,0.0041664966979586,0.9103767869122359,0.003793081876567991,,,24,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT5p0_targetD_seed94362
882,direct,baseline multitone,gaussian,1760.5633802816897,4,0.0040979422501076,0.9103767869122359,0.003730671498604855,,,12,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT5p0_targetD_seed94362
